name,linkedin_url,website,industry,company_size,headquarters,founded,specialties,description,email,phone,followers,location_search,followers_search,description_short,source,crawl_keyword,channel,channel_title,channel_members,message_date,location,crawl_channel
#LastMileASEAN,https://www.linkedin.com/company/53272035/,,"Transportation, Logistics, Supply Chain and Storage",,"Bangkok, Bangkok",,,,,,154,,,"Transportation, Logistics, Supply Chain and Storage • Bangkok, Bangkok",linkedin,ASEAN e-commerce,,,,,,
(AFPI) Asosiasi FinTech Pendanaan Bersama Indonesia,https://www.linkedin.com/company/31135468/,,Financial Services,,Jakarta,,,,,,6K,,,Financial Services • Jakarta,linkedin,fintech Indonesia,,,,,,
*instinctools,https://www.linkedin.com/company/2994200/,,IT Services and IT Consulting,,"Potomac, Maryland",,,,,,12K,,,"IT Services and IT Consulting • Potomac, Maryland",linkedin,healthtech USA,,,,,,
0xMetaLabs,https://www.linkedin.com/company/93200051/,,"Technology, Information and Internet",,Pune,,,,,,1K,,,"Technology, Information and Internet • Pune",linkedin,cybersecurity company USA,,,,,,
1.5°C Summit,https://www.linkedin.com/company/73026912/,,Events Services,,"Kwun Tong, Hong Kong",,,,,,449,,,"Events Services • Kwun Tong, Hong Kong",linkedin,startup Bay Area,,,,,,
10Pearls,https://www.linkedin.com/company/327623/,,IT Services and IT Consulting,,"Vienna, Virginia",,,,,,311K,,,"IT Services and IT Consulting • Vienna, Virginia",linkedin,IT outsourcing Vietnam,,,,,,
"123Start.biz, LLC",https://www.linkedin.com/company/90559142/,,Business Consulting and Services,,"Los Angeles, California",,,,,,24,,,"Business Consulting and Services • Los Angeles, California",linkedin,consumer startup USA,,,,,,
12Go,https://www.linkedin.com/company/5154857/,,Travel Arrangements,,"Bangkok, Bangkok",,,,,,38K,,,"Travel Arrangements • Bangkok, Bangkok",linkedin,B2B SaaS company,,,,,,
"13SQFT - India's largest Space, Infrastructure & Technology B2B Platform",https://www.linkedin.com/company/42170392/,,Internet Marketplace Platforms,,"Gurgaon, Haryana",,,,,,6K,,,"Internet Marketplace Platforms • Gurgaon, Haryana",linkedin,SPAC technology,,,,,,
1752vc: Venture Fellow & Emerging Angel Program,https://www.linkedin.com/company/104319097/,,Venture Capital and Private Equity Principals,,Santa Monica,,,,,,9K,,,Venture Capital and Private Equity Principals • Santa Monica,linkedin,venture capital Vietnam,,,,,,
1840 & Company,https://www.linkedin.com/company/71364160/,,Outsourcing and Offshoring Consulting,,"Overland Park, KS",,,,,,229K,,,"Outsourcing and Offshoring Consulting • Overland Park, KS",linkedin,BPO Vietnam,,,,,,
1871,https://www.linkedin.com/company/2460804/,,"Technology, Information and Internet",,"Chicago, IL",,,,,,83K,,,"Technology, Information and Internet • Chicago, IL",linkedin,startup Ho Chi Minh City,,,,,,
1Cloudtech.club Digital Marketing VietNam,https://www.linkedin.com/company/14563321/,,Advertising Services,,,,,,,,1,,,Advertising Services,linkedin,digital marketing Vietnam,,,,,,
1GEN,https://www.linkedin.com/company/13736995/,,Business Consulting and Services,,"Ann Arbor, Michigan",,,,,,12K,,,"Business Consulting and Services • Ann Arbor, Michigan",linkedin,social media startup,,,,,,
1Source BPO,https://www.linkedin.com/company/79871539/,,Business Consulting and Services,,"Peachtree Corners, Georgia",,,,,,10K,,,"Business Consulting and Services • Peachtree Corners, Georgia",linkedin,BPO Vietnam,,,,,,
1st Credentialing,https://www.linkedin.com/company/7788694/,,Hospitals and Health Care,,"Austin, TX",,,,,,3K,,,"Hospitals and Health Care • Austin, TX",linkedin,telemedicine company,,,,,,
24 Frames Digital,https://www.linkedin.com/company/398976/,,"Technology, Information and Internet",,"Mumbai, Maharashtra",,,,,,16K,,,"Technology, Information and Internet • Mumbai, Maharashtra",linkedin,digital bank Singapore,,,,,,
24 Seven Talent,https://www.linkedin.com/company/17937/,,Staffing and Recruiting,,New York,,,,,,1M,,,Staffing and Recruiting • New York,linkedin,e-commerce Vietnam,,,,,,
2Base Technologies,https://www.linkedin.com/company/809462/,,IT Services and IT Consulting,,"Cochin, Kerala",,,,,,80K,,,"IT Services and IT Consulting • Cochin, Kerala",linkedin,AI startup USA,,,,,,
2Checkout,https://www.linkedin.com/company/1216161/,,Software Development,,"New York, NY",,,,,,12K,,,"Software Development • New York, NY",linkedin,subscription company,,,,,,
2X,https://www.linkedin.com/company/13702795/,,Marketing Services,,"Malvern, Pennsylvania",,,,,,32K,,,"Marketing Services • Malvern, Pennsylvania",linkedin,subscription company,,,,,,
2Y3X,https://www.linkedin.com/company/66167/,,Business Consulting and Services,,"London, England",,,,,,2K,,,"Business Consulting and Services • London, England",linkedin,growth equity USA,,,,,,
2iSolutions Inc. USA,https://www.linkedin.com/company/98823952/,,IT Services and IT Consulting,,"Edison, New Jersey",,,,,,3K,,,"IT Services and IT Consulting • Edison, New Jersey",linkedin,cybersecurity company USA,,,,,,
33 USA Inc.,https://www.linkedin.com/company/89882346/,,Marketing Services,,"Los Angeles, California",,,,,,1K,,,"Marketing Services • Los Angeles, California",linkedin,growth equity USA,,,,,,
360 Technology,https://www.linkedin.com/company/28672430/,,Software Development,,"Farmers Branch, Texas",,,,,,52K,,,"Software Development • Farmers Branch, Texas",linkedin,devops company,,,,,,
360 tech — digital products for construction 🏗️,https://www.linkedin.com/company/111675060/,,Software Development,,,,,,,,3,,,Software Development,linkedin,construction tech,,,,,,
360i,https://www.linkedin.com/company/8824/,,Advertising Services,,"New York, NY",,,,,,106K,,,"Advertising Services • New York, NY",linkedin,digital marketing Vietnam,,,,,,
360insights,https://www.linkedin.com/company/221452/,,IT Services and IT Consulting,,"Whitby, Ontario",,,,,,13K,,,"IT Services and IT Consulting • Whitby, Ontario",linkedin,B2B SaaS company,,,,,,
365 Retail Markets,https://www.linkedin.com/company/594915/,,Software Development,,"Troy, MI",,,,,,37K,,,"Software Development • Troy, MI",linkedin,digital payments Vietnam,,,,,,
375 Park Associates,https://www.linkedin.com/company/6609114/,,Investment Banking,,"New York, New York",,,,,,444,,,"Investment Banking • New York, New York",linkedin,growth equity USA,,,,,,
"3A Pharmatech, LLC.",https://www.linkedin.com/company/2705744/,,Chemical Manufacturing,,"Pittsburgh, PA",,,,,,16,,,"Chemical Manufacturing • Pittsburgh, PA",linkedin,pharma tech,,,,,,
